
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T¡tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         4 KB Unknown         NT AUTHORITY\SYSTEM                                     1:18:47 N/D                                                                     
chrome.exe                    2300 Console                    1    25.184 KB Unknown         equipoXX\ma¤ana                                         0:00:01 N/D                                                                     
RuntimeBroker.exe             3008 Console                    1     6.320 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
chrome.exe                    2580 Console                    1   110.520 KB Unknown         equipoXX\ma¤ana                                         0:00:05 N/D                                                                     
chrome.exe                    3060 Console                    1    31.312 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
chrome.exe                    2968 Console                    1    29.088 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
chrome.exe                    1924 Console                    1    31.284 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
chrome.exe                    2880 Console                    1    18.716 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
wordpad.exe                   4240 Console                    1    30.444 KB Running         equipoXX\ma¤ana                                         0:00:05 PDSP 1ra evaluacion.rtf - WordPad                                       
cmd.exe                       4520 Console                    1     2.636 KB Running         equipoXX\ma¤ana                                         0:00:00 S¡mbolo del sistema - tasklist  /v                                      
conhost.exe                   2708 Console                    1     4.936 KB Running         equipoXX\ma¤ana                                         0:00:00 OleMainThreadWndName                                                    
tasklist.exe                  4232 Console                    1     6.500 KB Unknown         equipoXX\ma¤ana                                         0:00:00 N/D                                                                     
WmiPrvSE.exe                  3124 Services                   0     5.960 KB Unknown         N/D                                                     0:00:00 N/D                                                                     
